model_id,packet_id,runs_present,pair_count,mean_code_label_token_jaccard,mean_theme_name_token_jaccard,mean_cited_excerpt_jaccard,mean_negative_case_jaccard,code_count_sd,theme_count_sd
gpt-5.4,syn_agyw_01,3,3,0.2381383712905452,0.21366592344853216,0.9444444444444443,0.7777777777777777,0.0,0.4714045207910317
gpt-5.4,syn_candor_01,3,3,0.2630164119977363,0.18156054741420594,0.8333333333333334,0.4166666666666667,0.0,0.0
gpt-5.4,syn_dreaddit_01,3,3,0.16366366366366367,0.16770250093318403,0.9444444444444443,0.7777777777777777,0.0,0.4714045207910317
gpt-5.4,syn_kodis_01,3,3,0.2688874833087357,0.1464707868963188,0.9393939393939394,0.19444444444444442,0.4714045207910317,0.4714045207910317
gpt-5.5,syn_agyw_01,3,3,0.2839276251040957,0.056763285024154585,0.9444444444444443,0.7777777777777777,0.4714045207910317,0.4714045207910317
gpt-5.5,syn_candor_01,3,3,0.2766153599486933,0.18461538461538463,0.9444444444444443,0.3333333333333333,0.4714045207910317,0.0
gpt-5.5,syn_dreaddit_01,3,3,0.34720673851108635,0.1606060606060606,0.8888888888888888,0.7777777777777777,0.4714045207910317,0.4714045207910317
gpt-5.5,syn_kodis_01,3,3,0.289426523297491,0.2619047619047619,0.9444444444444443,0.06666666666666667,0.4714045207910317,0.0
gpt-5.6-luna,syn_agyw_01,3,3,0.20875420875420878,0.2547008547008547,0.6666666666666666,0.5555555555555555,0.816496580927726,0.0
gpt-5.6-luna,syn_candor_01,3,3,0.2510822510822511,0.1068295739348371,0.7999999999999999,0.5555555555555555,0.816496580927726,0.0
gpt-5.6-luna,syn_dreaddit_01,3,3,0.23148148148148148,0.08838383838383838,0.9259259259259259,0.7777777777777777,0.4714045207910317,0.0
gpt-5.6-luna,syn_kodis_01,3,3,0.22424242424242424,0.4166666666666667,0.8666666666666667,0.27777777777777773,0.816496580927726,0.0
gpt-5.6-sol,syn_agyw_01,3,3,0.3517746913580247,0.24903381642512076,0.9444444444444443,1.0,0.4714045207910317,0.4714045207910317
gpt-5.6-sol,syn_candor_01,3,3,0.37455272363818093,0.26080724687535833,0.9444444444444443,0.16666666666666666,0.4714045207910317,0.0
gpt-5.6-sol,syn_dreaddit_01,3,3,0.27890499194847024,0.17463768115942027,1.0,1.0,0.0,0.0
gpt-5.6-sol,syn_kodis_01,3,3,0.3153328153328153,0.20614035087719298,0.9393939393939394,0.37222222222222223,0.0,0.0
gpt-5.6-terra,syn_agyw_01,3,3,0.4219244149272612,0.16382575757575757,0.8787878787878788,1.0,0.4714045207910317,0.4714045207910317
gpt-5.6-terra,syn_candor_01,3,3,0.5874458874458874,0.1792446633825944,0.8282828282828283,0.3333333333333333,0.4714045207910317,0.4714045207910317
gpt-5.6-terra,syn_dreaddit_01,3,3,0.28571428571428575,0.16810344827586207,0.8787878787878789,1.0,0.4714045207910317,0.4714045207910317
gpt-5.6-terra,syn_kodis_01,3,3,0.2698412698412698,0.18069997259434797,0.7545454545454545,0.2222222222222222,0.4714045207910317,0.4714045207910317
