model_id,packet_id,corpus_proxy,result_scope,generation_records,hard_gate_pass_rate,schema_valid_rate,exact_quote_rate,attribution_validity,assignment_completeness,cited_excerpt_coverage,cited_source_coverage,theme_multi_source_rate,mean_theme_source_concentration,judge_ratings,mean_judge_evidential_support,mean_judge_voice_context,mean_judge_negative_case,mean_judge_codebook_usability,mean_judge_overall_quality,judge_serious_error_flag_rate,judge_accept_rate,mean_cited_excerpt_jaccard,mean_negative_case_jaccard
gpt-5.6-sol,syn_dreaddit_01,dreaddit,synthetic_proxy_not_corpus_result,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2916666666666667,9,4.222222222222222,4.333333333333333,4.111111111111111,3.7777777777777777,4.111111111111111,0.2222222222222222,0.5555555555555556,1.0,1.0
gpt-5.6-sol,syn_agyw_01,agyw_focus_groups,synthetic_proxy_not_corpus_result,3,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,1.0,1.0,0.27314814814814814,9,4.555555555555555,4.666666666666667,4.666666666666667,4.333333333333333,4.555555555555555,0.0,1.0,0.9444444444444443,1.0
gpt-5.6-sol,syn_kodis_01,kodis,synthetic_proxy_not_corpus_result,3,0.3333333333333333,1.0,1.0,1.0,1.0,0.8611111111111112,1.0,0.6666666666666666,0.611111111111111,9,5.0,5.0,4.555555555555555,4.666666666666667,5.0,0.0,1.0,0.9393939393939394,0.37222222222222223
gpt-5.6-sol,syn_candor_01,candor,synthetic_proxy_not_corpus_result,3,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,1.0,1.0,0.5277777777777778,9,4.666666666666667,5.0,4.555555555555555,4.444444444444445,4.555555555555555,0.0,0.6666666666666666,0.9444444444444443,0.16666666666666666
gpt-5.6-terra,syn_dreaddit_01,dreaddit,synthetic_proxy_not_corpus_result,3,1.0,1.0,1.0,1.0,1.0,0.8055555555555555,0.8055555555555555,1.0,0.46296296296296297,9,4.111111111111111,4.111111111111111,3.888888888888889,4.111111111111111,4.0,0.1111111111111111,0.4444444444444444,0.8787878787878789,1.0
gpt-5.6-terra,syn_agyw_01,agyw_focus_groups,synthetic_proxy_not_corpus_result,3,0.3333333333333333,1.0,1.0,1.0,1.0,0.8611111111111112,0.9583333333333334,0.7777777777777777,0.5740740740740741,9,3.6666666666666665,3.888888888888889,3.5555555555555554,4.111111111111111,3.6666666666666665,0.1111111111111111,0.6666666666666666,0.8787878787878788,1.0
gpt-5.6-terra,syn_kodis_01,kodis,synthetic_proxy_not_corpus_result,3,0.0,1.0,1.0,1.0,1.0,0.7777777777777778,1.0,0.611111111111111,0.6944444444444443,9,4.111111111111111,4.333333333333333,3.4444444444444446,4.333333333333333,4.111111111111111,0.0,0.6666666666666666,0.7545454545454545,0.2222222222222222
gpt-5.6-terra,syn_candor_01,candor,synthetic_proxy_not_corpus_result,3,0.3333333333333333,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,0.7777777777777777,0.6296296296296297,9,3.7777777777777777,4.555555555555555,3.888888888888889,4.333333333333333,3.6666666666666665,0.4444444444444444,0.2222222222222222,0.8282828282828283,0.3333333333333333
gpt-5.6-luna,syn_dreaddit_01,dreaddit,synthetic_proxy_not_corpus_result,3,1.0,1.0,1.0,1.0,1.0,0.7222222222222222,0.7222222222222222,1.0,0.5,9,3.7777777777777777,3.6666666666666665,3.5555555555555554,3.5555555555555554,3.5555555555555554,0.1111111111111111,0.3333333333333333,0.9259259259259259,0.7777777777777777
gpt-5.6-luna,syn_agyw_01,agyw_focus_groups,synthetic_proxy_not_corpus_result,3,0.6666666666666666,1.0,1.0,0.9047619047619048,1.0,0.8333333333333334,0.875,1.0,0.5,9,2.7777777777777777,3.2222222222222223,3.0,2.888888888888889,2.6666666666666665,0.5555555555555556,0.1111111111111111,0.6666666666666666,0.5555555555555555
gpt-5.6-luna,syn_kodis_01,kodis,synthetic_proxy_not_corpus_result,3,0.0,1.0,1.0,1.0,1.0,0.7777777777777778,1.0,0.5,0.75,9,3.4444444444444446,3.888888888888889,3.0,3.5555555555555554,3.5555555555555554,0.2222222222222222,0.4444444444444444,0.8666666666666667,0.27777777777777773
gpt-5.6-luna,syn_candor_01,candor,synthetic_proxy_not_corpus_result,3,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.5,9,3.888888888888889,4.111111111111111,4.222222222222222,3.7777777777777777,3.7777777777777777,0.2222222222222222,0.4444444444444444,0.7999999999999999,0.5555555555555555
gpt-5.5,syn_dreaddit_01,dreaddit,synthetic_proxy_not_corpus_result,3,1.0,1.0,1.0,1.0,1.0,0.9444444444444443,0.9444444444444443,1.0,0.3333333333333333,9,4.666666666666667,4.666666666666667,4.333333333333333,4.222222222222222,4.444444444444445,0.2222222222222222,0.5555555555555556,0.8888888888888888,0.7777777777777777
gpt-5.5,syn_agyw_01,agyw_focus_groups,synthetic_proxy_not_corpus_result,3,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,1.0,1.0,0.40648148148148144,9,4.555555555555555,4.555555555555555,4.333333333333333,4.555555555555555,4.555555555555555,0.0,1.0,0.9444444444444443,0.7777777777777777
gpt-5.5,syn_kodis_01,kodis,synthetic_proxy_not_corpus_result,3,0.0,1.0,1.0,1.0,1.0,0.9722222222222222,1.0,0.6666666666666666,0.6962962962962963,9,4.777777777777778,4.777777777777778,4.222222222222222,4.555555555555555,4.555555555555555,0.2222222222222222,0.6666666666666666,0.9444444444444443,0.06666666666666667
gpt-5.5,syn_candor_01,candor,synthetic_proxy_not_corpus_result,3,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,1.0,1.0,0.5018518518518519,9,5.0,5.0,4.666666666666667,4.888888888888889,5.0,0.0,1.0,0.9444444444444443,0.3333333333333333
gpt-5.4,syn_dreaddit_01,dreaddit,synthetic_proxy_not_corpus_result,3,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,0.9722222222222222,1.0,0.3101851851851852,9,4.777777777777778,4.555555555555555,4.555555555555555,4.555555555555555,4.666666666666667,0.1111111111111111,0.8888888888888888,0.9444444444444443,0.7777777777777777
gpt-5.4,syn_agyw_01,agyw_focus_groups,synthetic_proxy_not_corpus_result,3,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,1.0,1.0,0.4291666666666667,9,4.888888888888889,4.555555555555555,4.222222222222222,4.888888888888889,4.666666666666667,0.0,1.0,0.9444444444444443,0.7777777777777777
gpt-5.4,syn_kodis_01,kodis,synthetic_proxy_not_corpus_result,3,0.0,1.0,0.9904761904761905,1.0,1.0,0.8888888888888888,1.0,0.6944444444444443,0.6462962962962963,9,4.555555555555555,4.888888888888889,4.222222222222222,4.888888888888889,4.444444444444445,0.2222222222222222,0.7777777777777778,0.9393939393939394,0.19444444444444442
gpt-5.4,syn_candor_01,candor,synthetic_proxy_not_corpus_result,3,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,1.0,1.0,0.49259259259259264,9,4.888888888888889,5.0,4.333333333333333,5.0,4.888888888888889,0.0,1.0,0.8333333333333334,0.4166666666666667
