timestamp_utc,run_id,corpus_id,stage_n,event
2026-09-01T14:57:30.945982Z,dreaddit_dev580_working_v1,dreaddit,100,stage_start
2026-09-01T14:58:00.353509Z,dreaddit_dev580_working_v1,dreaddit,100,stage_start
2026-09-01T14:58:00.354808Z,dreaddit_dev580_working_v1,dreaddit,100,stage_complete
2026-09-01T14:58:00.373212Z,dreaddit_dev580_working_v1,dreaddit,250,stage_start
2026-09-01T14:58:00.375349Z,dreaddit_dev580_working_v1,dreaddit,250,stage_complete
2026-09-01T14:58:00.399923Z,dreaddit_dev580_working_v1,dreaddit,500,stage_start
2026-09-01T14:58:00.403530Z,dreaddit_dev580_working_v1,dreaddit,500,stage_complete
2026-09-01T14:58:00.429554Z,dreaddit_dev580_working_v1,dreaddit,580,stage_start
2026-09-01T14:58:00.433352Z,dreaddit_dev580_working_v1,dreaddit,580,stage_complete
2026-09-01T14:58:00.648694Z,goemotions_train_all_working_v1,goemotions,100,stage_start
2026-09-01T14:58:00.651463Z,goemotions_train_all_working_v1,goemotions,100,stage_complete
2026-09-01T14:58:00.884001Z,goemotions_train_all_working_v1,goemotions,250,stage_start
2026-09-01T14:58:00.889334Z,goemotions_train_all_working_v1,goemotions,250,stage_complete
2026-09-01T14:58:01.108908Z,goemotions_train_all_working_v1,goemotions,500,stage_start
2026-09-01T14:58:01.117554Z,goemotions_train_all_working_v1,goemotions,500,stage_complete
2026-09-01T14:58:01.341132Z,goemotions_train_all_working_v1,goemotions,1000,stage_start
2026-09-01T14:58:01.367547Z,goemotions_train_all_working_v1,goemotions,1000,stage_complete
2026-09-01T14:58:01.627090Z,goemotions_train_all_working_v1,goemotions,2000,stage_start
2026-09-01T14:58:01.659351Z,goemotions_train_all_working_v1,goemotions,2000,stage_complete
2026-09-01T14:58:01.976781Z,goemotions_train_all_working_v1,goemotions,4000,stage_start
2026-09-01T14:58:02.039298Z,goemotions_train_all_working_v1,goemotions,4000,stage_complete
2026-09-01T14:58:02.385085Z,goemotions_train_all_working_v1,goemotions,6000,stage_start
2026-09-01T14:58:02.476179Z,goemotions_train_all_working_v1,goemotions,6000,stage_complete
2026-09-01T14:58:02.889107Z,goemotions_train_all_working_v1,goemotions,8000,stage_start
2026-09-01T14:58:03.004389Z,goemotions_train_all_working_v1,goemotions,8000,stage_complete
2026-09-01T14:58:03.436874Z,goemotions_train_all_working_v1,goemotions,9540,stage_start
2026-09-01T14:58:03.576120Z,goemotions_train_all_working_v1,goemotions,9540,stage_complete
2026-09-01T14:58:03.599801Z,agyw_focus_groups_eval765_working_v1,agyw_focus_groups,100,stage_start
2026-09-01T14:58:03.600707Z,agyw_focus_groups_eval765_working_v1,agyw_focus_groups,100,stage_complete
2026-09-01T14:58:03.623649Z,agyw_focus_groups_eval765_working_v1,agyw_focus_groups,250,stage_start
2026-09-01T14:58:03.624380Z,agyw_focus_groups_eval765_working_v1,agyw_focus_groups,250,stage_complete
2026-09-01T14:58:03.653468Z,agyw_focus_groups_eval765_working_v1,agyw_focus_groups,500,stage_start
