timestamp_utc,run_id,corpus_id,stage_n,event,role,model,target_n,existing_n,missing_n,completed_n,note
2026-09-01T16:56:18.862727Z,dreaddit_dev580_working_v1,dreaddit,100,stage_start,,,100,,,,
2026-09-01T16:56:18.863564Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_skip_complete,generalist,qwen3:8b,100,100,0,100,existing_outputs_reused
2026-09-01T16:56:18.864232Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_skip_complete,generalist,llama3.1:8b,100,100,0,100,existing_outputs_reused
2026-09-01T16:56:18.864874Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_skip_complete,generalist,gemma3:4b,100,100,0,100,existing_outputs_reused
2026-09-01T16:56:19.102569Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_start,qualitative_methods,qwen3:8b,100,89,11,89,
2026-09-01T16:58:30.551105Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_complete,qualitative_methods,qwen3:8b,100,89,11,100,
2026-09-01T16:58:30.551443Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_start,qualitative_methods,llama3.1:8b,100,0,100,0,
2026-09-01T17:12:24.998255Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_complete,qualitative_methods,llama3.1:8b,100,0,100,100,
2026-09-01T17:12:24.998768Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_start,qualitative_methods,gemma3:4b,100,0,100,0,
2026-09-01T17:26:13.891610Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_complete,qualitative_methods,gemma3:4b,100,0,100,100,
2026-09-01T17:26:14.024176Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_start,domain,qwen3:8b,100,0,100,0,
2026-09-01T17:40:12.185336Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_complete,domain,qwen3:8b,100,0,100,100,
2026-09-01T17:40:12.185931Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_start,domain,llama3.1:8b,100,0,100,0,
2026-09-01T17:54:57.657990Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_complete,domain,llama3.1:8b,100,0,100,100,
2026-09-01T17:54:57.658560Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_start,domain,gemma3:4b,100,0,100,0,
2026-09-01T18:19:21.197180Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_complete,domain,gemma3:4b,100,0,100,100,
2026-09-01T18:19:21.333494Z,dreaddit_dev580_working_v1,dreaddit,100,quality_judge_start,judge,,100,,,,
2026-09-01T18:19:21.333637Z,dreaddit_dev580_working_v1,dreaddit,100,quality_judge_complete,judge,,100,,,,skipped
2026-09-02T02:41:15.292269Z,dreaddit_dev580_working_v1,dreaddit,100,stage_start,,,100,,,,
2026-09-02T02:41:15.293004Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_skip_complete,generalist,qwen3:8b,100,100,0,100,existing_outputs_reused
2026-09-02T02:41:15.293749Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_skip_complete,generalist,llama3.1:8b,100,100,0,100,existing_outputs_reused
2026-09-02T02:41:15.294434Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_skip_complete,generalist,gemma3:4b,100,100,0,100,existing_outputs_reused
2026-09-02T02:41:15.394123Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_skip_complete,qualitative_methods,qwen3:8b,100,100,0,100,existing_outputs_reused
2026-09-02T02:41:15.394831Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_skip_complete,qualitative_methods,llama3.1:8b,100,100,0,100,existing_outputs_reused
2026-09-02T02:41:15.395439Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_skip_complete,qualitative_methods,gemma3:4b,100,100,0,100,existing_outputs_reused
2026-09-02T02:41:15.434033Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_skip_complete,domain,qwen3:8b,100,100,0,100,existing_outputs_reused
2026-09-02T02:41:15.434822Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_skip_complete,domain,llama3.1:8b,100,100,0,100,existing_outputs_reused
2026-09-02T02:41:15.435482Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_skip_complete,domain,gemma3:4b,100,100,0,100,existing_outputs_reused
2026-09-02T02:41:15.472929Z,dreaddit_dev580_working_v1,dreaddit,100,quality_judge_start,judge,,100,,,,
2026-09-02T02:41:15.473062Z,dreaddit_dev580_working_v1,dreaddit,100,quality_judge_complete,judge,,100,,,,skipped
2026-09-02T02:41:15.662781Z,dreaddit_dev580_working_v1,dreaddit,100,stage_complete,,,100,,,,
2026-09-02T02:41:15.851296Z,goemotions_train_all_working_v1,goemotions,100,stage_start,,,100,,,,
2026-09-02T02:41:15.852179Z,goemotions_train_all_working_v1,goemotions,100,role_model_skip_complete,generalist,qwen3:8b,100,100,0,100,existing_outputs_reused
2026-09-02T02:41:15.852863Z,goemotions_train_all_working_v1,goemotions,100,role_model_start,generalist,llama3.1:8b,100,28,72,28,
2026-09-02T02:50:12.731753Z,dreaddit_dev580_working_v1,dreaddit,100,stage_start,,,100,,,,
2026-09-02T02:50:12.732773Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_skip_complete,generalist,qwen3:8b,100,100,0,100,existing_outputs_reused
2026-09-02T02:50:12.733479Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_skip_complete,generalist,llama3.1:8b,100,100,0,100,existing_outputs_reused
2026-09-02T02:50:12.734146Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_skip_complete,generalist,gemma3:4b,100,100,0,100,existing_outputs_reused
2026-09-02T02:50:12.992555Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_skip_complete,qualitative_methods,qwen3:8b,100,100,0,100,existing_outputs_reused
2026-09-02T02:50:12.993329Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_skip_complete,qualitative_methods,llama3.1:8b,100,100,0,100,existing_outputs_reused
2026-09-02T02:50:12.993995Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_skip_complete,qualitative_methods,gemma3:4b,100,100,0,100,existing_outputs_reused
2026-09-02T02:50:13.071931Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_skip_complete,domain,qwen3:8b,100,100,0,100,existing_outputs_reused
2026-09-02T02:50:13.072679Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_skip_complete,domain,llama3.1:8b,100,100,0,100,existing_outputs_reused
2026-09-02T02:50:13.073332Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_skip_complete,domain,gemma3:4b,100,100,0,100,existing_outputs_reused
2026-09-02T02:50:13.150676Z,dreaddit_dev580_working_v1,dreaddit,100,quality_judge_start,judge,,100,,,,
2026-09-02T02:50:13.150816Z,dreaddit_dev580_working_v1,dreaddit,100,quality_judge_complete,judge,,100,,,,skipped
2026-09-02T02:50:13.287557Z,dreaddit_dev580_working_v1,dreaddit,100,stage_complete,,,100,,,,
2026-09-02T02:50:13.495452Z,goemotions_train_all_working_v1,goemotions,100,stage_start,,,100,,,,
2026-09-02T02:50:13.496322Z,goemotions_train_all_working_v1,goemotions,100,role_model_skip_complete,generalist,qwen3:8b,100,100,0,100,existing_outputs_reused
2026-09-02T02:50:13.497026Z,goemotions_train_all_working_v1,goemotions,100,role_model_start,generalist,llama3.1:8b,100,97,3,97,
2026-09-02T02:51:29.689977Z,goemotions_train_all_working_v1,goemotions,100,role_model_complete,generalist,llama3.1:8b,100,97,3,100,
2026-09-02T02:51:29.690259Z,goemotions_train_all_working_v1,goemotions,100,role_model_start,generalist,gemma3:4b,100,0,100,0,
