packet_id,run_index,bundle_file,candidate_count
syn_dreaddit_01,1,syn_dreaddit_01_run1.json,5
syn_dreaddit_01,2,syn_dreaddit_01_run2.json,5
syn_dreaddit_01,3,syn_dreaddit_01_run3.json,5
syn_agyw_01,1,syn_agyw_01_run1.json,5
syn_agyw_01,2,syn_agyw_01_run2.json,5
syn_agyw_01,3,syn_agyw_01_run3.json,5
syn_kodis_01,1,syn_kodis_01_run1.json,5
syn_kodis_01,2,syn_kodis_01_run2.json,5
syn_kodis_01,3,syn_kodis_01_run3.json,5
syn_candor_01,1,syn_candor_01_run1.json,5
syn_candor_01,2,syn_candor_01_run2.json,5
syn_candor_01,3,syn_candor_01_run3.json,5
